STATION_CODE,Species,Fish_no,Length,Weight,Kjønn,Liver_weight,Liver_color,Gonad_weight,Age,Otolittform
02B,Torsk,1,41.5,700,F,25.6,HR,NA,2,NA
02B,Torsk,2,42.5,819,F,25.5,HR,NA,1,NA
02B,Torsk,3,45.5,869,F,21.6,R,NA,2,NA
02B,Torsk,4,45.3,822,F,19.2,HR,NA,2,NA
02B,Torsk,5,43,737,M,27.1,HR,NA,1,NA
02B,Torsk,6,44.2,876,M,25.1,GR,NA,2,NA
02B,Torsk,7,45.7,911,F,20.4,GR,NA,2,NA
02B,Torsk,8,38.9,655,M,34.9,HR,NA,2,NA
02B,Torsk,9,45.7,960,F,25.7,HR,NA,2,NA
02B,Torsk,10,44.2,893,M,25.8,GR,NA,2,NA
02B,Torsk,11,49.2,1423,F,31.9,HR,NA,3,NA
02B,Torsk,12,45.2,981,M,15.2,RH,NA,2,NA
02B,Torsk,13,42.7,619,M,5.8,HR,NA,3,NA
02B,Torsk,14,42.2,728,M,19.6,HR,NA,2,NA
02B,Torsk,15,42.3,699,F,22,R,NA,2,NA
02B,Torsk,16,40,583,M,10.6,R,NA,NA,NA
10B,Torsk,1,38.3,567,m,10.6,hr,NA,3,NA
10B,Torsk,2,41.7,688,m,17.5,hr,NA,3,NA
10B,Torsk,3,44.9,763,m,13,hr,NA,5,NA
10B,Torsk,4,46.3,799,f,11.5,hr,NA,4,NA
10B,Torsk,5,46.8,925,f,14.6,hr,NA,3,NA
10B,Torsk,6,43.5,820,m,11.6,hr,NA,4,NA
10B,Torsk,7,50.2,1156,m,38,hr,NA,6,NA
10B,Torsk,8,50.4,1156,m,26,hr,NA,4,NA
10B,Torsk,9,52.5,1587,m,44.9,hr,NA,7,NA
10B,Torsk,10,43.8,750,m,21.3,hr,NA,4,NA
10B,Torsk,11,39.5,550,m,15.3,hr,NA,6,NA
10B,Torsk,12,42,675,f,12.5,h,NA,4,NA
10B,Torsk,13,40.2,545,m,15.1,hr,NA,4,NA
10B,Torsk,14,38.2,479,f,7.96,hr,NA,4,NA
10B,Torsk,15,36,451,f,6.47,rg,NA,3,NA
10B,Torsk,16,36.7,414,m,5.26,rg,NA,NA,NA
10B,Torsk,17,38.3,517,m,12.02,gr,NA,NA,NA
10B,Torsk,18,35.5,401,m,13.87,hr,NA,NA,NA
10B,Torsk,19,31.6,289,f,5.56,gr,NA,NA,NA
10B,Torsk,20,31.2,252,m,4.58,gr,NA,NA,NA
10B,Torsk,21,34.1,300,m,5.1,h,NA,NA,NA
10B,Torsk,22,32.8,281,m,5.49,gr,NA,NA,NA
10B,Torsk,23,30.1,258,f,7,hr,NA,NA,NA
10B,Torsk,24,35.1,323,m,4.2,h,NA,NA,NA
10B,Torsk,25,33.2,279,f,3.8,h,NA,NA,NA
10B,Torsk,26,31.2,251,f,4,h,NA,NA,NA
10B,Torsk,27,32.3,280,m,7.1,hr,NA,NA,NA
10B,Torsk,28,34.7,305,f,4.73,g,NA,NA,NA
10B,Torsk,29,31.9,239,f,2.98,gr,NA,NA,NA
10B,Torsk,30,28.4,199,m,3.1,hr,NA,NA,NA
10B,Torsk,31,30.6,289,m,6.7,hr,NA,NA,NA
10B,Torsk,32,30.8,231,f,4.96,g,NA,NA,NA
10B,Torsk,33,28.7,195,m,4.2,hgr,NA,NA,NA
10B,Torsk,34,30,261,m,4.5,hr,NA,NA,NA
10B,Torsk,35,30.4,234,m,5.31,hr,NA,NA,NA
10B,Torsk,36,28.9,188,f,2.2,rh,NA,NA,NA
10B,Torsk,37,29.9,227,f,6.17,hr,NA,NA,NA
10B,Torsk,38,26.2,164,m,3.04,hr,NA,NA,NA
10B,Torsk,39,28.8,200,f,4.2,hr,NA,NA,NA
13B,Torsk,1,62,2530,f,25.8,rg,30.37,5,NA
13B,Torsk,2,64,2026,m,15.5,rg,1,4,NA
13B,Torsk,3,60,2345,f,58.6,gr,20.6,7,NA
13B,Torsk,4,59,2535,m,47.4,gr,6.9,6,NA
13B,Torsk,5,57,1967,f,51.1,gr,21.8,5,NA
13B,Torsk,6,54,1816,f,27.1,gr,11.3,3,NA
13B,Torsk,7,53,1480,m,38.7,gr,5,5,NA
13B,Torsk,8,50.5,1410,f,12.8,gr,3.9,3,NA
13B,Torsk,9,53,1710,m,46.5,gr,4.9,6,NA
13B,Torsk,10,52.5,1552,m,23.2,gr,10.1,6,NA
13B,Torsk,11,53,1846,m,52.7,gr,3.8,4,NA
13B,Torsk,12,50.5,1312,m,34.9,gr,2.6,3,NA
13B,Torsk,13,51,1368,f,23,gr,5.4,2,NA
